No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
14,Responsive,Use responsive breakpoints consistently,Standard breakpoints for consistent design,sm md lg xl 2xl,Custom arbitrary breakpoints,[639px]:hidden produces brittle designs,"sm:hidden not min-[639px]:hidden",Medium,https://tailwindcss.com/docs/responsive-design,not-applicable,none,none,none,standard
15,Responsive,Stack on mobile spread on desktop,Common responsive pattern for cards and sections,flex-col on mobile flex-row on desktop,Same layout on all screens,flex flex-col md:flex-row,flex-row on mobile causing scroll,Medium,,not-applicable,none,none,none,standard
16,Typography,Use type scale utilities,Consistent text sizing system,text-sm text-base text-lg text-xl etc,Arbitrary text sizes,text-lg leading-7,text-[17px] leading-[26px],Medium,https://tailwindcss.com/docs/font-size,not-applicable,none,none,none,standard
17,Typography,Set readable line length,Limit prose width for readability,max-w-prose for text content,Full-width paragraphs,prose max-w-prose,w-full on paragraphs,Medium,https://tailwindcss.com/docs/max-width,not-applicable,none,none,none,standard
18,Typography,Use font display swap,Prevent FOIT with font loading,font-display: swap in @font-face,Default font loading behavior,font-display: swap in CSS,No font-display declaration,Medium,,not-applicable,none,none,none,critical
19,Color,Use semantic color names,Colors by purpose not appearance,bg-primary text-error border-warning,bg-blue-500 text-red-500 everywhere,bg-primary text-on-primary,bg-blue-500 for both brand and links,Medium,,token-based,none,none,agent-aware,standard
20,Color,Consistent opacity usage,Use color opacity utilities,bg-primary/50 for transparent variants,Separate opacity utilities,bg-black/50,bg-black opacity-50 affects children,Medium,https://tailwindcss.com/docs/background-color#changing-the-opacity,not-applicable,none,none,none,standard
21,Color,Support dark mode,Built-in dark mode support,dark: variant with design tokens,Separate dark stylesheet,dark:bg-gray-900 dark:text-white,Dark mode via custom CSS file,High,https://tailwindcss.com/docs/dark-mode,auto-detect,none,none,none,standard
22,Accessibility,Sufficient color contrast,Text must be readable,4.5:1 ratio minimum for body text,Low contrast text combinations,text-gray-900 on bg-white,text-gray-400 on bg-gray-100,High,,not-applicable,none,none,none,standard
23,Accessibility,Focus visible indicators,Keyboard users need focus rings,focus-visible:ring-2 focus-visible:ring-primary,Removing focus styles without replacement,focus-visible:ring-2 focus-visible:ring-offset-2,outline-none with no alternative,High,https://tailwindcss.com/docs/outline-style,not-applicable,none,none,none,standard
24,Accessibility,Screen reader utilities,Hide visual-only content from screen readers,sr-only for visually hidden but accessible content,Hiding important content from both,sr-only on label text,hidden on form labels,Medium,https://tailwindcss.com/docs/screen-readers,not-applicable,none,none,none,standard
25,Accessibility,Touch-friendly targets,Adequate tap target sizes,min-h-11 min-w-11 for touch targets (44px),Tiny clickable elements,min-h-11 p-3,w-6 h-6 on mobile buttons,High,,not-applicable,none,none,none,standard
26,Performance,Purge unused CSS,Remove unused styles in production,Tailwind v4 auto-detects content sources,Manual content configuration (v3),Automatic in v4,"content: ['./src/**/*.{html|js}'] in v3",Medium,https://tailwindcss.com/docs/optimizing-for-production,not-applicable,none,none,none,critical
27,Performance,Avoid arbitrary values,Use design system tokens,Use @theme tokens instead of brackets,Arbitrary values for design tokens,text-primary,text-[#3b82f6],Medium,,not-applicable,none,none,agent-aware,standard
28,Performance,Minimize class count per element,Keep utility lists readable,Extract to @apply or component classes for 8+ utilities,20+ utilities on one element,@apply for repeated patterns,class='p-4 m-2 bg-blue-500 text-white rounded-lg shadow-md...',Low,,not-applicable,none,none,none,standard
29,Components,Use @apply for repeated patterns,Extract common patterns into components,@apply for repeated utility combinations,@apply for one-off styles,.btn { @apply px-4 py-2 rounded font-medium },@apply for single-use styles,Medium,https://tailwindcss.com/docs/reusing-styles,not-applicable,none,none,none,standard
30,Components,Use @variant for custom variants,Tailwind v4 custom variant definitions,@variant for component-specific states,Complex arbitrary variant syntax,"@variant checked (&:checked);","[&:checked]:bg-blue-500 everywhere",Low,https://tailwindcss.com/docs/adding-custom-styles,not-applicable,none,none,none,standard
31,Components,Use @custom-variant for design system,Register reusable custom variants project-wide,@custom-variant for team-wide variants,Inconsistent manual variant usage,"@custom-variant theme-dark (.dark &);",Different dark-mode patterns per file,Low,https://tailwindcss.com/docs/adding-custom-styles,token-based,none,none,agent-aware,standard
32,Forms,Style form elements consistently,Consistent form input styling,Shared utility pattern for inputs,Different styles per input,"<input class='border rounded-lg px-3 py-2 focus:ring-2'>",Every input styled differently,Medium,,not-applicable,none,basic,none,standard
33,Forms,Use peer/group for interactive forms,Show/hide elements based on sibling state,peer and group for form validation UI,JavaScript for simple show/hide,"peer-invalid:text-red-500","JS toggle for validation message",Medium,https://tailwindcss.com/docs/hover-focus-and-other-states#styling-based-on-sibling-state,not-applicable,none,none,none,standard
34,Spacing,Use spacing scale consistently,Standard spacing for visual rhythm,Space scale 0.5 1 1.5 2 3 4 6 8 12 16,Arbitrary spacing values,p-4 m-6 gap-3,"p-[13px] m-[22px]",Medium,https://tailwindcss.com/docs/customizing-spacing,not-applicable,none,none,none,standard
35,Spacing,Use consistent border radius,Standard radius tokens,rounded-sm rounded-md rounded-lg rounded-xl,Arbitrary radius values,rounded-lg,rounded-[7px],Low,,not-applicable,none,none,none,standard
36,Semantic,Use semantic HTML elements,Proper HTML for accessibility and SEO,"<nav> <main> <article> <section> <aside> <footer>",div/span for everything,"<nav class='flex items-center'>","<div class='nav flex items-center'>",High,,not-applicable,none,none,none,standard
37,Semantic,Use proper heading hierarchy,Sequential heading levels for a11y,h1 then h2 then h3 in order,Skip heading levels,"<h1> then <h2> then <h3>","<h1> then <h4>",Medium,,not-applicable,none,none,none,standard
38,Dark Mode,Use class strategy for toggleable dark mode,Allow users to toggle dark mode independent of system,class strategy with JS toggle,Media-only dark mode without user control,"darkMode: 'class' in v3 or @custom-variant in v4",Only system preference,Medium,https://tailwindcss.com/docs/dark-mode,manual-toggle,none,none,none,standard
39,Dark Mode,Test both modes thoroughly,Dark mode can break contrast and readability,Test all pages in both light and dark,Ship without dark mode testing,Side-by-side light/dark comparison,Only test one mode,Medium,,auto-detect,none,none,none,standard
40,AI,Use data attributes for AI agents,AI agents need stable selectors,data-testid and aria-label on elements,Rely on visual cues only,"data-testid='hero-cta' aria-label='Get Started'",Class-only selectors,Medium,,not-applicable,ai-native,none,agent-native,standard
41,AI,Label AI content sections,Mark AI-generated content areas,Explicit AI badge or indicator,Mix AI and human content without labels,"<span class='badge'>AI Generated</span>",No attribution,Medium,,not-applicable,ai-native,gdpr-ready,agent-native,standard
42,Privacy,Consent-aware script loading,Load third-party scripts after consent,Conditional script include,Auto-load tracking,Load GA only after consent,GA in head unconditionally,High,,not-applicable,none,gdpr-ready,agent-aware,standard
