No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
22,Styling,Use CSS variables for dark mode,Implement dark mode with CSS custom properties,Use data-theme attribute + CSS variables for theme switching,"Separate dark.css file — doubles payload","[data-theme='dark'] { --bg: #0f172a; --text: #f1f5f9 }","<link href='dark.css' /> // separate dark stylesheet",High,,token-based,none,none,none,standard
23,Content,Use MDX for rich content,Use .mdx files when markdown needs interactive components,Use MDX only when you need components inside markdown,Use MDX for plain text content — unnecessary overhead,"<BlogPost.mdx> with <InteractiveDemo client:visible />","Plain text blog post in .mdx instead of .md",Medium,https://docs.astro.build/en/guides/integrations-guide/mdx/,auto-detect,none,none,none,standard
24,Content,Use remark/rehype plugins,Extend markdown processing with remark and rehype plugins,Add reading time and syntax highlighting with plugins,Build custom markdown parsers from scratch,"remarkPlugins: [remarkReadingTime, remarkToc]","Custom regex-based markdown transformation",Medium,,auto-detect,none,none,none,standard
25,Integration,Use official integrations,Prefer official @astrojs/* integrations over manual setup,Install integrations via npx astro add [integration],Manually configure build tools when integration exists,"npx astro add react // auto-configures React support","Manual React + Vite config instead of astro add react",High,https://docs.astro.build/en/guides/integrations-guide/,auto-detect,none,none,none,standard
26,TypeScript,Use strict TypeScript,Enable strict mode in tsconfig for type safety,Use strict: true and define Props interface for every component,Use any types or skip TypeScript entirely,"interface Props { title: string; date: Date }","const { title } = Astro.props // no type definition",High,,auto-detect,none,none,agent-aware,standard
27,Middleware,Use middleware for auth,Create middleware for authentication and redirects,Use src/middleware.ts for request-level logic,Handle auth checks in every page component,"export const onRequest = (context, next) => { if (!auth) return redirect('/login') }","Check auth in every page's frontmatter",Medium,https://docs.astro.build/en/guides/middleware/,auto-detect,none,basic,none,standard
28,A11y,Semantic HTML in templates,Use semantic HTML elements in .astro templates,Use <main> <nav> <article> <section> for structure,Use <div> for everything — no semantic meaning,"<article><h2>{post.title}</h2><p>{post.excerpt}</p></article>","<div class='post'><div class='title'>{post.title}</div></div>",High,,auto-detect,none,none,none,standard
29,Dark Mode,System + toggle,Support system preference with manual override toggle,Detect prefers-color-scheme + provide visible toggle,"Light-only theme with no dark mode option","<script>const theme = localStorage.getItem('theme') || (matchMedia('(prefers-color-scheme:dark)').matches ? 'dark' : 'light')</script>","No dark mode support on content-heavy site",High,,auto-detect,none,none,none,standard
30,AI,AI content generation,Use Astro for AI-generated content sites with ISR,Generate pages from AI content with on-demand rendering,Regenerate entire site for each AI content update,"export const prerender = false; const content = await generateAIContent(slug)","Full static rebuild for each new AI-generated post",Medium,,auto-detect,ai-optional,basic,agent-aware,standard
31,Privacy,Cookie consent,Show consent before any tracking scripts,Load analytics only after explicit consent,Ship Google Analytics in <head> before consent,Script loads conditionally after consent check,GA tag in every page head without consent gate,Critical,,auto-detect,none,gdpr-ready,none,standard
32,Error,Custom error pages,Create custom 404 and 500 error pages,Create src/pages/404.astro with helpful navigation,Use default Astro 404 — generic and unhelpful,"Custom 404 with search + popular links + illustration","Default 'Page not found' text",Medium,,auto-detect,none,none,none,standard
