No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
17,Material3,Use TextTheme for typography,Consistent text styles from theme,Theme.of(context).textTheme for text,Custom TextStyle everywhere,"Theme.of(context).textTheme.headlineMedium","TextStyle(fontSize: 24, fontWeight: FontWeight.bold)",Medium,,token-based,none,none,none,standard
18,DarkMode,Support dark mode with theme,Automatic dark mode via ThemeData,ThemeData.dark() or darkTheme in MaterialApp,Single theme ignoring dark mode,"MaterialApp(darkTheme: ThemeData.dark())","MaterialApp(theme: lightOnly)",High,,auto-detect,none,none,none,standard
19,DarkMode,Use semantic colors not hardcoded,Colors adapt via colorScheme,colorScheme tokens that auto-adapt,Hardcoded white/black backgrounds,colorScheme.surface,"Colors.white",Medium,,token-based,none,none,none,standard
20,Navigation,Use GoRouter for routing,Declarative routing with deep linking,GoRouter for type-safe navigation,Navigator.push everywhere,"GoRouter(routes: [GoRoute(path: '/', builder: ...)])","Navigator.push(MaterialPageRoute(...))",High,https://pub.dev/packages/go_router,not-applicable,none,none,agent-aware,standard
21,Navigation,Use named routes,Consistent route references,Named routes or path constants,String literals for routes,"context.go('/dashboard')","Navigator.pushNamed('/dashboard') hardcoded",Medium,,not-applicable,none,none,none,standard
22,Layout,Use Flexible and Expanded properly,Control space distribution in Flex widgets,Expanded for fill remaining space Flexible for flex factor,Hardcoded sizes in Row/Column,"Expanded(child: Text('Title'))","SizedBox(width: 200) inside Row",Medium,https://api.flutter.dev/flutter/widgets/Expanded-class.html,not-applicable,none,none,none,standard
23,Layout,Use LayoutBuilder for responsive,Adapt UI based on available space,LayoutBuilder for responsive layouts,Fixed layouts that break on different screens,"LayoutBuilder(builder: (context, constraints) => ...)","Fixed width on all screens",Medium,https://api.flutter.dev/flutter/widgets/LayoutBuilder-class.html,not-applicable,none,none,none,standard
24,Layout,Use Slivers for complex scrolling,CustomScrollView with slivers for mixed layouts,SliverList SliverGrid SliverAppBar,Nested scrollable views,"CustomScrollView(slivers: [SliverAppBar(), SliverList()])","ListView inside ListView",Medium,https://api.flutter.dev/flutter/widgets/CustomScrollView-class.html,not-applicable,none,none,none,strict
25,Layout,Use DecoratedSliver for sliver styling,Apply decoration to sliver children,DecoratedSliver for backgrounds in scroll views,Wrapping slivers in containers,"DecoratedSliver(decoration: BoxDecoration(...), sliver: SliverList())","Container wrapping SliverList",Low,https://api.flutter.dev/flutter/widgets/DecoratedSliver-class.html,not-applicable,none,none,none,standard
26,Async,Use FutureBuilder for async data,Display data from Future with loading/error states,FutureBuilder for one-time async operations,Manual setState with isLoading,"FutureBuilder(future: fetchData(), builder: ...)","bool isLoading; fetch().then((d) { setState(() { isLoading = false; }) })",Medium,https://api.flutter.dev/flutter/widgets/FutureBuilder-class.html,not-applicable,none,none,none,standard
27,Async,Use StreamBuilder for live data,Display data from Stream with updates,StreamBuilder for real-time data,Manual state management for streams,"StreamBuilder(stream: dataStream, builder: ...)","stream.listen((d) { setState(() { data = d; }) })",Medium,https://api.flutter.dev/flutter/widgets/StreamBuilder-class.html,not-applicable,ai-optional,none,agent-aware,standard
28,Testing,Write widget tests,Test UI components in isolation,Widget tests for component behavior,Only manual testing,"testWidgets('shows title', (tester) async { })","No widget tests",Medium,https://docs.flutter.dev/testing/overview,not-applicable,none,none,agent-aware,standard
29,Testing,Use integration tests,End-to-end testing on device,Integration tests for critical flows,Widget tests only for complex flows,"integration_test/app_test.dart","Only widget tests for booking flow",Medium,https://docs.flutter.dev/testing/integration-tests,not-applicable,none,none,agent-aware,standard
30,Accessibility,Use Semantics widget,Provide accessibility labels,Semantics for meaningful content,Missing labels on interactive elements,"Semantics(label: 'Close button', child: IconButton(...))","IconButton without label",High,https://api.flutter.dev/flutter/widgets/Semantics-class.html,not-applicable,none,none,none,standard
31,Accessibility,Sufficient touch targets,Adequate tap target sizes,Minimum 48x48dp touch targets,Tiny tappable areas,SizedBox(height: 48 width: 48 child: IconButton()),24x24 IconButton,High,,not-applicable,none,none,none,standard
32,Accessibility,Support text scaling,Respect user's text size preference,Use TextScaler-aware layouts,Fixed layouts that break on large text,Flexible layouts with text scaling,Fixed height text containers,Medium,https://api.flutter.dev/flutter/widgets/MediaQuery-class.html,not-applicable,none,none,none,standard
33,Impeller,Use Impeller renderer,Modern rendering engine for smoother animations,Impeller enabled (default on iOS/Android),Skia for new projects,Default Flutter 3.x behavior,--no-enable-impeller flag,Medium,https://docs.flutter.dev/perf/impeller,not-applicable,none,none,none,critical
34,Platform,Support adaptive UI,Different UI patterns per platform,Platform-adaptive widgets for iOS/Android,Same UI on all platforms,"Platform.isIOS ? CupertinoButton() : ElevatedButton()","ElevatedButton on iOS",Medium,,not-applicable,none,none,none,standard
35,Platform,Use platform channels properly,Clean native integration,MethodChannel/EventChannel for native code,Excessive platform channel calls,Batch platform calls,Individual calls for each value,Medium,https://docs.flutter.dev/platform-integration/platform-channels,not-applicable,ai-optional,none,agent-aware,standard
36,Security,Secure storage for secrets,Never hardcode API keys,flutter_secure_storage for sensitive data,SharedPreferences for secrets,"FlutterSecureStorage().write(key: 'token', value: token)","SharedPreferences.setString('token', token)",High,,not-applicable,none,hipaa-grade,agent-aware,standard
37,Security,Validate inputs server-side,Client validation is bypassable,Server-side validation for all inputs,Client-only validation,Server schema validation,Only client-side checks,High,,not-applicable,ai-recommended,gdpr-ready,agent-optimized,standard
38,AI,Stream AI responses,Progressive AI output rendering,StreamBuilder for AI chat responses,Wait for full response,"StreamBuilder(stream: aiStream, builder: ...)","await aiResponse then setState",High,,not-applicable,ai-native,basic,agent-native,critical
39,AI,Label AI-generated content,Clear AI attribution,Badge or label for AI content,Present AI as human,"Badge('AI Generated')","No attribution",High,,not-applicable,ai-native,gdpr-ready,agent-native,standard
40,AI,Human-in-the-loop gates,Require approval for critical AI actions,Confirmation dialogs before irreversible AI actions,Auto-execute AI suggestions,"showDialog() before AI action","AI executes without consent",High,,not-applicable,ai-native,gdpr-ready,agent-native,standard
41,Privacy,Request permissions properly,Ask only when needed with context,Permission request at point of use with rationale,Batch permission requests at launch,"Permission.camera.request() when user taps camera","Request all permissions on startup",High,,not-applicable,none,gdpr-ready,agent-aware,standard
42,Privacy,Support data deletion,GDPR/CCPA right to delete,Clear account deletion in settings,Hide behind support,"Settings > Delete Account","Contact support to delete",High,,not-applicable,none,hipaa-grade,agent-aware,standard
43,Agent,Expose semantic labels for agents,AI agents need consistent identifiers,Semantics labels on key interactions,No semantic labels,"Semantics(label: 'submit_order')","No semantics on button",Medium,,not-applicable,ai-native,none,agent-native,standard
