No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL,Dark_Mode_Strategy,AI_Integration_Level,Privacy_Tier,Agent_Readiness,Performance_Budget
31,Accessibility,Use semantic HTML in templates,Proper HTML semantics for a11y,nav main article section elements,div for everything,"<nav><ul><li v-for>...</li></ul></nav>","<div class='nav'><div v-for>",High,,not-applicable,none,none,none,standard
32,Accessibility,Implement keyboard navigation,All interactive elements keyboard accessible,Tab order focus trap management,Mouse-only interactions,@keydown handlers + tabindex,@click only,High,,not-applicable,none,none,agent-aware,standard
33,Accessibility,Use ARIA attributes,Dynamic content needs proper ARIA,aria-live for async updates aria-label for icons,Missing ARIA on icon buttons,"<button aria-label='Close'>X</button>","<button>X</button>",Medium,,not-applicable,none,none,none,standard
34,Security,Sanitize user content,Prevent XSS from user input,DOMPurify before v-html,v-html with unsanitized input,"v-html='DOMPurify.sanitize(content)'","v-html='userInput'",High,,not-applicable,none,gdpr-ready,agent-optimized,standard
35,Security,Validate on server side,Client validation is bypassable,Server-side Zod validation,Client-only validation,Server-side schema validation,Only client-side checks,High,,not-applicable,ai-recommended,gdpr-ready,agent-optimized,standard
36,AI,Stream AI responses in templates,Progressive AI output rendering,Reactive stream binding for AI chat,Wait for full AI response,"const stream = ref(''); useAIStream(stream)","await fetchAIResponse() then render",High,,not-applicable,ai-native,basic,agent-native,critical
37,AI,Label AI-generated content,Clearly mark AI outputs,AI badge with source citations,Present AI as human-written,"<Badge>AI Generated</Badge>",No AI attribution,High,,not-applicable,ai-native,gdpr-ready,agent-native,standard
38,AI,Implement confidence indicators,Show AI reliability levels,Confidence badges on AI outputs,Equal certainty on all AI output,"<Badge>{{ confidence }}% sure</Badge>",No confidence display,Medium,,not-applicable,ai-native,basic,agent-native,standard
39,Privacy,Consent-aware tracking,Load analytics after consent,Conditional analytics loading,Auto-load tracking,"if(consent.value) loadGA()","GA loaded in app.vue unconditionally",High,,not-applicable,none,gdpr-ready,agent-aware,standard
40,Privacy,Support data deletion,GDPR/CCPA right to deletion,Clear data deletion UI flow,Hide behind support,"Settings > Delete Account > Confirm",Email support,High,,not-applicable,none,hipaa-grade,agent-aware,standard
41,Agent,Expose stable selectors,AI agents need consistent selectors,data-testid on interactive elements,Dynamic class-only selectors,"data-testid='submit-form'",Random class names,Medium,,not-applicable,ai-native,none,agent-native,standard
42,Agent,Show agent progress UI,Agent workflows need visibility,Step indicators for agent operations,Single spinner for long tasks,"<AgentSteps :current='2' :total='4' />",Loading spinner only,High,,not-applicable,ai-native,none,agent-native,standard
43,Vapor,Prepare for Vapor Mode,Vue Vapor compiles to imperative DOM ops,Keep components Vapor-compatible,Rely on virtual DOM specific patterns,Pure reactive + template bindings,Advanced render functions with h(),Low,https://github.com/vuejs/core-vapor,not-applicable,ai-optional,none,agent-aware,critical
