STT	Style Category	AI Prompt Keywords (Copy-Paste Ready)	CSS/Technical Keywords	Implementation Checklist	Design System Variables	AI Compatibility	Performance Budget	Accessibility Tier	Best For (Product Types)	Dark Mode CSS	Dark Mode Variables	Agent Readiness
11	Retro-Futurism	Build a retro-futuristic (cyberpunk/vaporwave) interface with neon colors (cyan, magenta, electric blue), deep black background, 80s aesthetic, CRT scanlines, glitch effects, neon glow, monospace fonts, geometric patterns. Balance nostalgia with modern performance.	color: #0080FF, #FF006E, #00FFFF; text-shadow: 0 0 10px neon; background: #000 or #1A1A2E; font-family: monospace; animation: glitch (skew+offset); filter: hue-rotate; image-rendering: auto	☐ Neon colors used ☐ CRT scanlines effect ☐ Glitch animations active ☐ Monospace font ☐ Deep black background ☐ Glow effects applied ☐ 80s patterns present ☐ Reduced motion alternative	--neon-colors: #0080FF #FF006E #00FFFF; --background: #000000; --font-family: monospace; --effect: glitch+glow; --scanline-opacity: 0.3; --reduced-motion: static fallback	Low — niche aesthetic; use for gaming, crypto, and experimental AI interfaces	LCP < 2.5s; CLS < 0.15; Glitch animation budget: 3 elements max; Filter renders < 16ms	A (neon on dark can be harsh; test carefully)	Gaming, Fintech/Crypto, NFT/Web3, Cybersecurity	Already dark-native; neon +10% brightness; scanline 0.15; glow stronger; bg:#0A0A10	Already dark; var(--dark-neon:+10%); var(--dark-scanline:0.15); var(--dark-glow:stronger); var(--dark-bg:#0A0A10)	2/5 niche retro; limited agent utility
12	Flat Design	Create a flat, 2D interface with bold colors, no shadows/gradients, clean lines, simple geometric shapes, icon-heavy, typography-focused, minimal ornamentation. Use 4-6 solid bright colors. Prioritize fast loading and content clarity. Ideal for data-heavy and utility interfaces.	box-shadow: none; background: solid color; border-radius: 0-4px; fill: solid; stroke: 1-2px; font: bold sans-serif; icons: simplified SVG inline; color: solid high-saturation	☐ No shadows/gradients ☐ 4-6 solid colors max ☐ Clean lines consistent ☐ Simple shapes used ☐ Icon-heavy layout ☐ High saturation colors ☐ Fast loading verified ☐ SVG icons inline	--shadow: none; --color-palette: 4-6 solid; --border-radius: 2px; --gradient: none; --icons: inline SVG; --animation: minimal 150-200ms; --font: bold sans-serif	High — clean flat structure is ideal for AI-generated layouts and dynamic content	LCP < 1.5s; CLS < 0.05; Total CSS < 30KB; Zero render-blocking resources	AA+ (inherently accessible with proper contrast)	Productivity, Job Board, Marketplace, Logistics, Pharmacy, Home Services	color-scheme:dark; bg:#1A1A1A; same saturation; icons light fill; SVG stroke:#E0E0E0	var(--dark-bg:#1A1A1A); var(--dark-text:#FAFAFA); var(--dark-icon:light-fill); var(--dark-stroke:#E0E0E0)	5/5 flat+fast=ideal agent-generated layouts
13	Skeuomorphism	Design a realistic, textured interface with 3D depth, real-world metaphors (leather, wood, metal), complex gradients (8-12 stops), realistic shadows, grain/texture overlays, tactile press animations. Use for premium/luxury products where tactile feel matters.	background: complex gradient 8-12 stops; box-shadow: realistic multi-layer; background-image: texture overlay (noise, grain); filter: drop-shadow; transform: scale on press 300-500ms	☐ Realistic textures applied ☐ Complex gradients 8-12 stops ☐ Multi-layer shadows ☐ Texture overlays present ☐ Tactile animations smooth ☐ Depth effect pronounced ☐ Texture assets optimized (WebP/AVIF)	--gradient-stops: 8-12; --texture-overlay: noise+grain; --shadow-layers: 3+; --animation-duration: 300-500ms; --depth-effect: pronounced; --texture-format: WebP/AVIF	Low — heavy visual style conflicts with dynamic AI content; use sparingly for premium accents	LCP < 3.0s; Texture assets < 500KB total; CLS < 0.1; Lazy-load textures	A (textures can reduce readability)	Luxury Brand, Brewery/Winery, Photography, Premium E-commerce	color-scheme:dark; textures darken; gradients deepen; grain overlay lighter; tactile preserved	var(--dark-texture:darken); var(--dark-gradient:deep); var(--dark-grain:lighter); var(--dark-depth:preserved)	2/5 heavy visuals conflict with dynamic AI
14	Liquid Glass	Create a premium liquid glass effect with morphing shapes, flowing animations, chromatic aberration, iridescent gradients, smooth 400-600ms transitions. Use SVG morphing, dynamic blur, smooth color transitions. Ideal for premium brands and immersive product pages.	animation: morphing SVG paths 400-600ms; backdrop-filter: blur + saturate; filter: hue-rotate + brightness; mix-blend-mode: screen; background: iridescent gradient; will-change: filter	☐ Morphing animations 400-600ms ☐ Chromatic aberration applied ☐ Dynamic blur active ☐ Iridescent gradients ☐ Smooth color transitions ☐ Premium feel achieved ☐ GPU composited ☐ Fallback for low-end devices	--morph-duration: 400-600ms; --blur-amount: 15px; --chromatic-aberration: true; --iridescent: true; --blend-mode: screen; --gpu-composited: true; --fallback: simplified static	Medium — premium feel works for AI-powered product configurators and luxury experiences	LCP < 3.0s; SVG morph < 16ms per frame; Filter budget: 2 concurrent; GPU required	AA (ensure text readability over effects)	Luxury Brand, Hotel, E-commerce Luxury, Automotive, Premium Brand	color-scheme:dark; morph on #080818; chromatic brighter; iridescent on dark base; blur deeper	var(--dark-morph-bg:#080818); var(--dark-chromatic:brighter); var(--dark-iridescent:dark-base); var(--dark-blur:deeper)	3/5 premium feel for AI product configurators
15	Motion-Driven	Build an animation-heavy interface with scroll-triggered animations, microinteractions, parallax scrolling (3-5 layers), smooth transitions (300-400ms), entrance animations, page transitions. Use Intersection Observer, View Transitions API, GPU acceleration. Respect reduced motion preferences.	animation: scroll-reveal; transform: translateY/X; Intersection Observer; will-change: transform; scroll-behavior: smooth; view-transition-name; @media (prefers-reduced-motion: reduce)	☐ Scroll animations active ☐ Parallax 3-5 layers ☐ Entrance animations smooth ☐ Page transitions fluid ☐ GPU accelerated ☐ Prefers-reduced-motion respected ☐ View Transitions API used ☐ No layout thrashing	--animation-duration: 300-400ms; --parallax-layers: 5; --scroll-behavior: smooth; --gpu-accelerated: true; --view-transition: enabled; --reduced-motion: static fallback	Medium — animations enhance AI reveal moments, loading states, and progressive disclosure	LCP < 2.5s; CLS < 0.1; Animation FPS > 60; JS animation budget < 30KB	AA (provide reduced motion alternatives)	Creative Agency, Travel, Portfolio, Photography, Brewery, Museum, Sports	color-scheme:dark; bg:#0F172A; scroll-reveals on dark; parallax surfaces darker; GPU accelerated	var(--dark-bg:#0F172A); var(--dark-reveal:fade-up); var(--dark-parallax:darker); var(--dark-gpu:true)	3/5 animations enhance AI progressive disclosure
16	Micro-interactions	Design with delightful micro-interactions: 50-100ms animations, gesture responses, tactile feedback, loading states, success/error states, subtle hover effects, haptic triggers. Focus on responsive, contextual interactions that guide users through AI-powered workflows.	animation: 50-100ms; transition: hover states; @media (hover: hover); :active for press; Vibration API for haptic; loading: skeleton screens; :has() for state-based styling	☐ Micro-animations 50-100ms ☐ Gesture-responsive ☐ Tactile feedback visual/haptic ☐ Skeleton loading screens ☐ Success/error states clear ☐ Hover effects subtle ☐ :has() selector used ☐ Haptic API integrated	--micro-duration: 50-100ms; --gesture-responsive: true; --haptic-feedback: true; --loading: skeleton; --state-feedback: success+error+loading; --hover: subtle transform	Very High — micro-interactions are essential for AI feedback loops, streaming responses, and agent status	LCP < 2.0s; INP < 50ms; Animation budget: 10 concurrent micro; No main thread blocking	AA (ensure state changes are perceivable)	Productivity, SaaS, AI Platforms, Dating, Social Media, Fitness	color-scheme:dark; bg:#121212; skeleton dark (#1E1E1E); states:neon indicators; haptic unchanged	var(--dark-bg:#121212); var(--dark-skeleton:#1E1E1E); var(--dark-state:neon); var(--dark-haptic:unchanged)	5/5 micro-interactions essential for AI feedback
17	Inclusive Design	Design for universal accessibility: high contrast (7:1+), large text (16px+), keyboard-only navigation, screen reader optimization, WCAG AAA, symbol-based indicators (not color-only), haptic feedback, voice interaction, reduced motion, cognitive load reduction, plain language.	aria-* complete; role semantic; focus-visible: 3-4px; contrast: 7:1+; @media (prefers-reduced-motion); @media (prefers-contrast: more); alt text all images; form labels associated; lang attribute	☐ WCAG AAA verified ☐ 7:1+ contrast all text ☐ Keyboard accessible ☐ Screen reader tested ☐ Focus visible 3-4px ☐ No color-only indicators ☐ Haptic fallback ☐ Voice nav supported ☐ Cognitive load minimized	--contrast-ratio: 7:1; --font-size: 16px+; --keyboard-accessible: true; --sr-compatible: true; --wcag-level: AAA; --color-symbols: true; --haptic: enabled; --cognitive-load: minimal	Very High — inclusive design is foundational for AI accessibility tools and universal AI interfaces	LCP < 1.5s; CLS < 0.05; INP < 100ms; Zero JS required for core content	AAA (by definition)	Government, Senior Care, Healthcare, Non-profit, Banking, Education, AI Accessibility	color-scheme:dark; bg:#121212; text:#F5F5F5; 7:1+ contrast; symbols inverted; voice unchanged	var(--dark-bg:#121212); var(--dark-text:#F5F5F5); var(--dark-symbols:inverted); var(--dark-wcag:AAA)	5/5 inclusive design foundational for AI a11y
18	Zero Interface	Create a voice-first, gesture-based, AI-driven interface with minimal visible UI, progressive disclosure, voice recognition, gesture detection, AI predictions, smart suggestions, context-aware actions. Hide controls until needed. Design for ambient computing and agent-first interactions.	Web Speech API; touch/gesture events; progressive-disclosure: show on demand; minimal visible UI; @media (prefers-reduced-data); container queries; popover API for contextual UI	☐ Voice commands responsive ☐ Gesture detection active ☐ AI predictions contextual ☐ Progressive disclosure working ☐ Minimal visible UI ☐ Smart suggestions contextual ☐ Popover API for on-demand UI ☐ Agent handoff states	--voice-ui: enabled; --gesture-detection: active; --ai-predictions: contextual; --progressive-disclosure: true; --visible-ui: minimal; --context-aware: true; --agent-mode: supported	Essential — this IS the AI-native interface pattern; designed for agent-first and ambient computing	LCP < 1.0s; INP < 50ms; Voice latency < 200ms; Minimal DOM nodes	AA (ensure discoverability of hidden controls)	Personal AI Assistant, Voice AI, Smart Home, Spatial Computing, AI Copilot	color-scheme:dark; minimal UI on #000; voice/gesture unchanged; progressive disclosure on dark	var(--dark-bg:#000); var(--dark-ui:minimal); var(--dark-voice:unchanged); var(--dark-disclosure:dark-bg)	5/5 this IS the AI-native agent pattern
19	Soft UI Evolution	Design evolved neumorphism with improved contrast (WCAG AA+), modern aesthetics, subtle depth, accessibility focus. Softer than flat but clearer than pure neumorphism. Better color hierarchy, improved focus states, modern 200-300ms animations. Ideal for calm, professional interfaces.	box-shadow: 0 2px 4px multi-layer; background: improved contrast pastels; border-radius: 8-12px; animation: 200-300ms; outline: 2-3px on focus; contrast: 4.5:1+; color-mix() for palette	☐ Improved contrast AA/AAA ☐ Soft shadows modern ☐ Border-radius 8-12px ☐ Animations 200-300ms ☐ Focus states visible ☐ Color hierarchy clear ☐ color-mix() for consistent palette	--shadow-soft: modern blend; --border-radius: 10px; --animation-duration: 200-300ms; --contrast-ratio: 4.5:1+; --color-hierarchy: improved; --wcag-level: AA+; --color-mix: supported	High — calm aesthetic works well for AI wellness apps, professional dashboards, and enterprise tools	LCP < 2.0s; CLS < 0.05; Shadow renders < 8ms; CSS-only animations preferred	AA+ (designed for improved accessibility)	Mental Health, Beauty/Spa, Wedding, Hotel, Cleaning Service, Senior Care, Enterprise Wellness	color-scheme:dark; bg:#1A1A2E; soft shadows lightened; improved contrast maintained; calm dark	var(--dark-bg:#1A1A2E); var(--dark-shadow:light-blend); var(--dark-contrast:4.5:1+); var(--dark-calm:true)	4/5 calm aesthetic for AI wellness/enterprise
20	Bento Box Grid	Design a Bento Grid layout with modular grid system, rounded corners (16-24px), varied card sizes (1x1, 2x1, 2x2, 3x1), card-based hierarchy, soft backgrounds, subtle borders, content-first approach. Apple-style aesthetic. Use CSS Subgrid for nested alignment.	display: grid; grid-template-columns: repeat(auto-fit, minmax()); gap: 1rem; border-radius: 20px; background: #FFF; subgrid for nested; container queries for card responsiveness	☐ CSS Grid layout ☐ Rounded corners 16-24px ☐ Varied card spans ☐ Content fits card size ☐ Responsive re-flow ☐ Apple-like aesthetic ☐ Subgrid for alignment ☐ Container queries per card	--grid-gap: 20px; --card-radius: 24px; --card-bg: #FFFFFF; --page-bg: #F5F5F7; --shadow: soft; --subgrid: enabled; --container-query: per-card	High — modular grid is perfect for AI-generated content blocks, feature comparisons, and dynamic layouts	LCP < 2.0s; CLS < 0.05; Grid paint < 16ms; Lazy-load card content	AA (ensure card content meets contrast)	SaaS, Digital Products, Creator Economy, Membership, AI Platforms, Feature Showcases	color-scheme:dark; bg:#0A0A0A; cards:#1E1E1E; rounded corners 24px; subtle border #333	var(--dark-bg:#0A0A0A); var(--dark-card:#1E1E1E); var(--dark-radius:24px); var(--dark-border:#333)	5/5 modular grid perfect for AI content blocks
21	Neubrutalism	Design a neubrutalist interface with high contrast, hard black borders (3px+), bright pop colors, no blur, sharp corners, bold typography, hard shadows (offset 4px 4px), raw but functional aesthetic. Modern take on brutalism with better usability.	border: 3px solid black; box-shadow: 5px 5px 0px black; colors: #FFDB58 #FF6B6B #4ECDC4; font-weight: 700; no gradients; no blur; accent-color for form elements	☐ Hard borders 2-4px ☐ Hard offset shadows ☐ High saturation colors ☐ Bold typography ☐ No blurs/gradients ☐ Distinctive aesthetic ☐ Form elements styled with accent-color ☐ Functional despite raw look	--border-width: 3px; --shadow-offset: 4px; --shadow-color: #000; --colors: high saturation; --font: bold sans; --accent-color: pop color; --blur: none	Medium — bold style works for AI tool landing pages and developer-focused products	LCP < 1.5s; CLS < 0.05; Total CSS < 25KB; Zero animations	AA+ (high contrast inherent)	Coding Bootcamp, Developer Tools, Marketing Agency, Cybersecurity, No-Code Platforms	color-scheme:dark; bg:#0A0A0A; hard borders #FFF; bright pop on dark; shadows:4px 4px 0 #FFF	var(--dark-bg:#0A0A0A); var(--dark-border:#FFF); var(--dark-shadow:4px 4px 0 #FFF); var(--dark-pop:bright)	3/5 bold for AI tool landing pages
22	HUD / Sci-Fi FUI	Design a futuristic HUD (Heads-Up Display) or FUI. Use thin lines (1px), neon cyan/blue on black, technical markers, decorative brackets, data visualization, monospaced fonts, glowing elements, transparency. Ideal for real-time monitoring and telemetry interfaces.	border: 1px solid rgba(0,255,255,0.5); color: #00FFFF; background: transparent or rgba(0,0,0,0.8); font-family: monospace; text-shadow: 0 0 5px cyan; SVG for technical markers	☐ Fine lines 1px ☐ Neon glow text/borders ☐ Monospaced font ☐ Dark/Transparent BG ☐ Decorative tech markers ☐ Holographic feel ☐ SVG markers animated ☐ Real-time data integration ready	--hud-color: #00FFFF; --bg-color: rgba(0,10,20,0.9); --line-width: 1px; --glow: 0 0 5px; --font: monospace; --data-refresh: real-time; --svg-markers: animated	High — HUD style is natural for AI monitoring, drone control, autonomous systems, and real-time telemetry	LCP < 2.0s; Data refresh < 100ms; SVG animation FPS > 30; WebSocket for real-time	A (neon on dark requires careful testing)	Space Tech, Drone Fleet, Autonomous Vehicles, Robotics, Cybersecurity, Digital Twin	Already dark-native; cyan/blue neon on #000; thin lines glow; monospace green-on-black	Already dark; var(--hud:#00FFFF); var(--bg:rgba(0,10,20,0.9)); var(--glow:5px); var(--font:monospace)	5/5 HUD natural for AI monitoring/telemetry
