No,Category,Pattern_Name,Description,Duration,Easing,CSS_Code,JS_Code,Trigger,Do,Don't,Severity,Performance_Impact,Accessibility_Note,Docs_URL
11,Loading,Skeleton Screen,Pulsing placeholder matching content layout,1.5s loop,ease-in-out,background: linear-gradient(90deg #f0f0f0 #e0e0e0 #f0f0f0); animation: shimmer 1.5s infinite,,data-loading,Match skeleton shapes to actual content layout,Use generic spinners for content-heavy pages,High,Low,Add aria-busy=true to container,https://web.dev/articles/cls
12,Loading,Spinner,Rotating circle indicator for quick operations,700ms loop,linear,border: 3px solid rgba(0 0 0/0.1); border-top-color: primary; animation: spin 0.7s linear infinite,,async-operation,Use for operations < 3 seconds,Use spinners for long loads — show skeleton instead,Medium,Low,Add aria-label='Loading' + role=status,
13,Loading,Progress Bar,Linear fill bar for determinate operations,varies,ease-out,width: 0% → var(--progress); transition: width 300ms ease-out,,upload/process,Show percentage for operations > 5 seconds,Animate indeterminate bar too fast — causes anxiety,High,Low,Use progressbar role with aria-valuenow,
14,Loading,Optimistic Update,Immediately show expected result then confirm,instant+300ms,ease,Apply state immediately; revert with fade on error,setState(optimistic); await api(); catch → revert(),user-action,Show success immediately then sync,Wait for server before showing any feedback,High,Low,Announce errors clearly if rollback occurs,
15,Scroll,Parallax,Background moves at different rate than foreground,continuous,linear,background-attachment: fixed; transform: translateZ(-1px) scale(2),,scroll,Use CSS transform-based parallax not JS scroll,Use scroll listeners for parallax — 60fps impossible,Medium,High,Disable for prefers-reduced-motion + vestibular,https://developer.chrome.com/blog/performant-parallaxing/
16,Scroll,Scroll Progress,Top bar indicating page read progress,continuous,linear,width: calc(var(--scroll) * 100%); position: fixed; top: 0,window.scrollY / (doc.scrollHeight - window.innerHeight),scroll,Use CSS scroll-timeline when supported,Recalculate on every scroll pixel with JS,Low,Low,Purely decorative,https://developer.mozilla.org/en-US/docs/Web/CSS/scroll-timeline
17,Scroll,Reveal on Scroll,Elements animate in as they enter viewport,500ms,ease-out,@keyframes reveal { from { opacity:0; transform:translateY(30px) } },"new IntersectionObserver(entries => {entries.forEach(e => {if(e.isIntersecting) e.target.classList.add('visible')})})",scroll-into-view,Use threshold 0.1-0.2 for early trigger,Trigger at threshold 1.0 — user never sees animation,High,Low,Use prefers-reduced-motion: reduce to skip,
18,Transition,Page Transition,Smooth transition between route changes,300ms,cubic-bezier(0.4 0 0.2 1),view-transition-name: main; ::view-transition-old(main) { animation: fade-out },document.startViewTransition(() => updateDOM()),navigation,Use View Transitions API when available,Full page fade-to-white between routes,High,Medium,Maintain focus position across transitions,https://developer.chrome.com/docs/web-platform/view-transitions/
19,Transition,Shared Element,Element morphs between two states/views,350ms,cubic-bezier(0.4 0 0.2 1),view-transition-name: card-hero,,navigation,Match element identity across views,Animate unrelated elements together — confusing,High,Medium,Announce new view content to screen readers,https://developer.chrome.com/docs/web-platform/view-transitions/
20,Transition,Tab Switch,Content cross-fades between tabs,200ms,ease,opacity: 0 → 1 on new panel; 1 → 0 on old,,click,Crossfade — don't slide tabs horizontally (confusing),Slide content left/right for tabs — not spatial,Medium,Low,Update aria-selected and tabpanel visibility,
21,Gesture,Swipe to Dismiss,Card swipes away on horizontal drag,200ms release,ease-out,transform: translateX(var(--drag-x)); opacity: calc(1 - abs(var(--drag-x))/200),Pointer events tracking deltaX; threshold 100px,touch-drag,Set clear threshold (100px) before commit,Dismiss on tiny swipes — accidental actions,High,Medium,Provide undo toast after dismiss,
22,Gesture,Pull to Refresh,Overscroll triggers content refresh,300ms snap,cubic-bezier(0.4 0 0.2 1),transform: translateY(var(--pull)); transition: transform 0.3s,touchmove tracking; threshold 80px; release → refresh(),touch-pull,Show spinner icon that fills as user pulls,Auto-refresh without user pulling far enough,High,Medium,Announce refreshing via aria-live region,
23,Gesture,Pinch to Zoom,Image zooms on pinch gesture,continuous,linear,transform: scale(var(--zoom)),Touch event tracking two-finger distance delta,pinch,Set min/max zoom bounds (0.5x-3x),Allow infinite zoom — crashes on large images,Medium,Medium,Provide zoom controls for non-touch users,
24,State,Checkbox Check,Animated checkmark draw-in,300ms,ease,stroke-dasharray + stroke-dashoffset animation on SVG path,,click,Use SVG path animation for crisp check,Toggle background only — boring and unclear,Medium,Low,Toggle aria-checked immediately,
25,State,Notification Badge,Badge scales in with bounce,400ms,cubic-bezier(0.68 -0.55 0.27 1.55),transform: scale(0) → scale(1) with overshoot easing,,data-update,Use overshoot easing for attention,Pop without animation — user misses it,Medium,Low,Announce new notification count via aria-live,
26,State,Toast Notification,Slide in from top/bottom with auto-dismiss,300ms in + 5s hold + 200ms out,ease-out / ease-in,transform: translateY(-100%) → 0 + auto-dismiss timeout,setTimeout for auto-dismiss + clearTimeout on hover,event,Pause auto-dismiss on hover/focus,Auto-dismiss errors — user needs to read them,High,Low,Use role=alert for errors and role=status for info,https://www.w3.org/WAI/ARIA/apd/role/alert/
27,State,Accordion Expand,Content reveals with height + fade animation,250ms,ease-in-out,grid-template-rows: 0fr → 1fr with overflow hidden,,click,Use CSS grid row animation for smooth height,Animate max-height with arbitrary large value,High,Low,Toggle aria-expanded on trigger button,
28,Layout,List Reorder,Items animate to new positions on sort,300ms,ease-in-out,Use FLIP technique: First Last Invert Play,getBoundingClientRect → calculate delta → animate,sort/filter,Use FLIP pattern for layout animations,Remove + re-add items — no position continuity,High,Medium,Announce reorder to screen readers via aria-live,https://aerotwist.com/blog/flip-your-animations/
29,Layout,Grid Resize,Items reflow smoothly on container resize,200ms,ease,transition: all 200ms ease on grid children,,resize/filter,Use CSS container queries for responsive grids,Snap to new layout without transition,Medium,Low,No a11y impact — purely visual,
30,Decorative,Gradient Shift,Background gradient slowly cycles colors,8s loop,linear,background-size: 200% 200%; animation: gradient-shift 8s ease infinite,,always,Keep color shift subtle — max 10% hue variation,Rapid psychedelic color cycling — induces nausea,Low,Medium,Disable for prefers-reduced-motion,
31,Decorative,Floating Particles,Subtle floating dots/shapes in background,continuous,ease-in-out,CSS animation with random delays and positions,Canvas or CSS-only with pseudo-elements,always,Use CSS-only particles (max 20 elements),Use canvas with 200+ particles — kills battery,Low,High,Disable for prefers-reduced-motion,
32,Decorative,Cursor Trail,Custom cursor with trailing effect,continuous,linear,,requestAnimationFrame + cursor position tracking,mousemove,Use sparingly on portfolio/creative sites only,Add to all pages — distracting and battery drain,Low,High,Never on mobile or touch devices,
33,Performance,will-change,Hint browser about upcoming animations,n/a,n/a,will-change: transform opacity,,before-animation,Apply just before animation starts then remove,Apply will-change to everything — wastes GPU memory,High,Medium,No a11y impact,https://developer.mozilla.org/en-US/docs/Web/CSS/will-change
34,Performance,requestAnimationFrame,Sync JS animations to display refresh rate,16.67ms (60fps),n/a,,requestAnimationFrame(animate),continuous,Use rAF for all JS-driven animations,Use setInterval for animations — causes frame drops,High,Low,No a11y impact,https://developer.mozilla.org/en-US/docs/Web/API/Window/requestAnimationFrame
35,Performance,Composite-only Properties,Animate only transform and opacity,varies,varies,transform + opacity only,,any,Stick to transform and opacity for 60fps,Animate margin padding width height — trigger layout,High,Low,No a11y impact,https://web.dev/animations-guide/
36,A11y,prefers-reduced-motion,Respect user motion preferences,n/a,n/a,@media (prefers-reduced-motion: reduce) { * { animation-duration: 0.01ms !important } },,system,Always provide reduced-motion media query,Ignore user preference — causes vestibular issues,Critical,Low,Required for WCAG 2.1 SC 2.3.3,https://developer.mozilla.org/en-US/docs/Web/CSS/@media/prefers-reduced-motion
37,A11y,Focus Animation,Subtle ring animation on keyboard focus,150ms,ease,outline: 2px solid var(--focus-color); outline-offset: 2px; transition: outline-offset 150ms,,focus-visible,Use :focus-visible not :focus for keyboard only,Remove all focus styles with outline:none,Critical,Low,Essential for keyboard navigation,
38,Timing,Duration Scale,Consistent duration hierarchy,varies,varies,--duration-fast: 150ms; --duration-normal: 250ms; --duration-slow: 400ms; --duration-slower: 600ms,,any,Use CSS custom properties for consistent timing,Magic number durations scattered through codebase,High,Low,No a11y impact — use reduced-motion to override,
39,Timing,Easing Tokens,Standardized easing functions,n/a,varies,--ease-out: cubic-bezier(0 0 0.2 1); --ease-in: cubic-bezier(0.4 0 1 1); --ease-spring: cubic-bezier(0.34 1.56 0.64 1),,any,Use named easing tokens for consistency,Mix random easing values — feels inconsistent,Medium,Low,No a11y impact,
40,Timing,Stagger Delay,Consistent stagger timing for lists,80ms per item,n/a,animation-delay: calc(var(--index) * 80ms),,list-appear,Cap total stagger at ~400ms (5 items visible),Stagger 20+ items with long delays,Medium,Low,Ensure content accessible before animation ends,
