No,Category,Pattern_Name,Description,Error_Type,Do,Don't,Code_Good,Code_Bad,Severity,Recovery_Action,User_Emotion,Docs_URL
11,Offline,Offline Banner,Show persistent banner when internet is lost,network-lost,Show dismissible banner at top with retry + offline capabilities,No offline indicator — user confused by failures,Yellow banner: '⚡ You're offline. Some features unavailable.' [Retry],App breaks silently with cryptic errors,Critical,retry + cache,anxious,
12,Offline,Cached Content,Show cached/stale data when offline,network-lost,Display cached data with 'Last updated X min ago' badge,Show nothing when offline — even if cache exists,Content + badge: 'Showing cached data from 5 min ago',Blank page despite having cached data,High,use-cache,relieved,
13,Offline,Queue Actions,Queue user actions to sync when back online,network-lost,Queue writes locally + sync with indicator when reconnected,Silently fail on save — user loses work,Toast: 'Saved locally. Will sync when online.' + sync indicator,Error: 'Failed to save' on every offline action,High,queue + sync,reassured,
14,Offline,Reconnection,Auto-detect reconnection and sync,network-restored,Auto-sync queued actions + show success confirmation,Require manual page refresh to reconnect,Auto-sync: 'Back online! 3 changes synced.' ✅,User must manually refresh to reconnect — loses context,High,auto-sync,relieved,
15,Loading,Skeleton Screen,Content-shaped placeholder while data loads,data-loading,Match skeleton shapes to actual content layout exactly,Use generic spinner for content-heavy pages,Skeleton: avatar circle + name line + 2 text lines matching actual layout,Generic 3-dot spinner for profile card loading,High,wait,patient,https://web.dev/articles/cls
16,Loading,Skeleton Shimmer,Animated shimmer on skeleton for activity indication,data-loading,Use subtle left-to-right shimmer gradient animation,Static gray blocks — user thinks page is frozen,'@keyframes shimmer { 0%{left:-100%} 100%{left:100%} }',Static gray rectangles with no animation — feels broken,Medium,wait,patient,
17,Loading,Progressive Loading,Load and show content progressively as available,data-loading,Show above-fold content first then load rest lazily,Wait for all data then render entire page at once,Hero loads instantly → features load → footer lazy,5-second blank screen while ALL API calls resolve,High,wait,engaged,
18,Loading,Optimistic Update,Show expected result immediately then confirm,user-action,Apply change instantly then confirm/revert on server response,Wait for server before showing any visual change,"setState({liked: true}); await api.like(); // revert if fails",Wait 2s for server → then show like animation,High,instant-feedback,satisfied,
19,Loading,Pull to Refresh,Mobile: pull down to refresh content,stale-data,Show spinner + pull distance feedback + threshold indicator,Auto-refresh on every scroll or mount — wastes bandwidth,Pull indicator with distance feedback → threshold → refresh animation,Auto-refresh every 30 seconds — battery drain,Medium,manual-refresh,in-control,
20,Retry,Auto Retry,Automatically retry failed requests with exponential backoff,network-error,Retry 3x with exponential backoff: 1s → 2s → 4s then show error,Retry infinitely — wastes battery and bandwidth,"retry(fn, { maxRetries: 3, backoff: 'exponential' })",while(true) { await fetch(); } — infinite retry loop,High,auto-retry,patient,
21,Retry,Manual Retry,Show retry button after failure,any-error,Show clear error message + [Retry] button,Auto-retry silently without user knowledge,'Failed to load comments. [Retry] [Skip]',Alert('Error') + page refresh,High,manual-retry,in-control,
22,Retry,Partial Failure,Some items fail in a batch operation,batch-error,Show which items succeeded and which failed + per-item retry,'3 of 10 failed' with no way to know which ones,'8 contacts imported. 2 failed: [Alice: invalid email] [Bob: duplicate]','Import partially failed' — user guesses,High,per-item-retry,concerned,
23,Feedback,Success Toast,Temporary success notification,success,Show for 3-5 seconds with ability to undo if applicable,Keep success toast forever — clutters UI,Toast: '✅ Document saved' (auto-dismiss 4s) [Undo],Alert('Saved!') blocking modal,Medium,undo-if-applicable,satisfied,
24,Feedback,Error Toast,Persistent error notification requiring user action,error,Keep visible until dismissed or resolved + include action button,Auto-dismiss error toasts — user misses critical info,Persistent toast: '❌ Upload failed: file too large (max 5MB)' [×],Error toast auto-disappears after 3 seconds — user unaware,Critical,fix + retry,alarmed,
25,Feedback,Warning Banner,Non-blocking warning about degraded service,warning,Show warning banner at top of page with details and dismiss,Block page with modal for non-critical warnings,Yellow banner: '⚠️ Search is slow. We're working on it.' [Dismiss],Modal popup for non-urgent warning — blocks work,Medium,acknowledge,cautious,
26,Feedback,Info Banner,Informational notice — feature update or policy change,info,Show blue banner with learn-more link and dismiss,Email-only for feature updates — users miss them,Blue banner: '🆕 New: Dark mode is here! [Try it] [Dismiss]',No in-app notice for new features — users don't discover them,Low,learn-more,interested,
27,Permission,Location Permission,Ask for location access with clear purpose,permission-request,Explain why you need location BEFORE triggering browser prompt,Trigger browser permission popup with no context,'We need your location to show nearby stores. [Allow] [No thanks]',navigator.geolocation.getCurrentPosition() — browser prompt with no prep,High,explain-first,suspicious,
28,Permission,Notification Permission,Ask for push notification permission,permission-request,Explain value of notifications + ask at relevant moment,Ask for notification permission on first page load,After first order: 'Get delivery updates?' [Enable Notifications],Page load: 'Allow notifications?' — user ignores,High,contextual-ask,guarded,
29,Permission,Camera/Mic Permission,Request camera or microphone access,permission-request,Show preview area before requesting + explain use case,Request camera with no visual context for what it will show,'We need camera access to scan QR codes. [Open Camera]',Instant camera prompt on page load — scary,High,explain-first,apprehensive,
30,Boundary,Error Boundary,Catch component errors without crashing whole app,component-crash,Wrap sections in error boundaries — failed section shows recovery UI,Let one broken component crash the entire page,ErrorBoundary: 'This section had an issue. [Reload Section]',Entire app white screen because one widget crashed,Critical,reload-section,frustrated,
31,Boundary,Timeout,Handle long-running operations that exceed expected time,timeout,Show timeout message after threshold + offer cancel and retry,Wait forever with no timeout indication,'This is taking longer than expected. [Keep Waiting] [Cancel]',Infinite spinner — user waits forever,High,cancel + retry,impatient,
32,Boundary,Large Dataset,Handle oversized responses gracefully,data-overflow,Paginate or virtualize large lists — show count of remaining,'Load all' for 10K items — browser crashes,"VirtualList: showing 50 of 10,000 items + infinite scroll",Render 10K DOM nodes — page freezes,High,paginate,overwhelmed,
33,Validation,Client Error,Show form validation errors before server round-trip,validation,Validate inline on blur — show error next to field immediately,Validate only on submit — all errors at once at top of page,Inline error below field: 'Email must include @',Error bank at top: '3 errors found' (user scrolls to find them),High,fix-inline,annoyed,
34,Validation,Server Error,Show server-side validation errors mapped to correct fields,validation,Map server errors back to specific fields,Show generic 'Validation failed' with no per-field mapping,'Email already registered' error next to email field,'The request was invalid' — which field?,High,fix-specific-field,confused,
35,Degraded,Partial Load,Some API calls succeed while others fail,mixed-success,Show successful data + error placeholders for failed sections,Wait for all APIs or show nothing,"Dashboard: Stats loaded ✅ | Chart: 'Failed to load' [Retry]",Blank dashboard because 1 of 5 API calls failed,High,per-section-retry,partially-satisfied,
